material,n,compactness_mean,compactness_std,symmetry_score_mean,symmetry_score_std,curv_mean_mean,curv_mean_std,bbox_H_mean,bbox_H_std,aspect_H_W_mean,aspect_H_W_std
Mahogni,6,0.3806467624472014,0.07888188732785274,0.12898421645011068,0.04000645273673073,0.10472628378397401,0.017741546362987932,1.8525649030055,0.04665277584701233,1.568524640805638,0.10225848056049426
Eik,22,0.4468335254628606,0.04719370945469198,0.12289828157079824,0.03527778661273749,0.10260757024412302,0.018081268846340565,1.7476662042068845,0.11165382579015916,1.565252672208073,0.21278002418067063
Bøk,21,0.44482418803350887,0.0799350496782653,0.10072042834409305,0.031081159983695605,0.10142108368305842,0.022219456397138286,1.732761956296519,0.09462023602043394,1.6097629331683854,0.29277103089585815
Kryssfiner,27,0.45524019740390137,0.08337457165783166,0.10379574351527907,0.04493835160913291,0.08957452744958623,0.026792995052791285,1.6577553892334562,0.09243105817340444,1.5848983147915179,0.3183811863578633
Stål,20,0.4373273929185532,0.08172417934946699,0.11755092132563705,0.040338523480120576,0.07502850338643355,0.023832124449601803,1.6642130237837556,0.06563301890070633,1.5235384387701403,0.3115419592646201
