objekt_id,n_verts,n_faces,bbox_x,bbox_y,bbox_z,vol_bbox,vol_hull,vol_mesh,area,sphericity,fill_ratio,vert_centroid_norm,inertia_smallest,inertia_middle,inertia_largest,inertia_ratio,complexity,is_watertight,load_error
NMK.2005.0581,479520,959048,1.7202532291412354,1.9940351843833923,1.5262135863304138,5.235287233065309,3.7556102522498396,nan,9.97365285741865,0.8632063716079436,0.7173646994055941,0.6095395148941508,1.2448282190024422,1.6193677778962485,1.7430793883048874,0.7141546319430779,4.681952477493358,0.0,
NMK.2005.0591,187921,375840,1.9948810935020447,0.699571430683136,0.8145797252655029,1.1367963644348937,0.4302775208188046,nan,4.154529998631531,0.6298466235006874,0.37850008522212103,0.4956680506669845,0.02395063912230877,0.13009809977095046,0.1477206226959715,0.1621347018797933,4.655453415595755,0.0,
NMK.2005.0593,1210450,2421026,1.9948012828826904,1.8720816373825073,1.5465214848518372,5.775377546175076,5.175775681280078,nan,29.744688604357854,0.8613323190531634,0.8961796246044378,0.536783561116079,2.3894541036061097,2.4722166595627995,2.8467604707302225,0.8393590286832916,4.609537428089157,0.0,
NMK.2005.0638,247806,495624,1.5248878598213196,1.0799999833106995,0.5883326232433319,0.9689125617255737,0.5760483319483353,0.08240141127490519,2.9130317124263665,0.7820036266397997,0.5945307705810198,0.5778606672261695,0.052880889685364384,0.09141658726156364,0.12099247801383493,0.43705931602886666,4.9297666049610855,1.0,
NMK.2005.0638_09013,326621,499872,0.665171205997467,1.0800000429153442,1.7743943929672241,1.2746981935999173,0.8053490585747481,nan,3.5056167600007804,0.782781668774306,0.6317958734218766,0.5833371856400708,0.08330850369171897,0.16703148693850298,0.2005375287461976,0.4154260013703225,4.969279667593025,0.0,
NMK.2005.0639,265637,531264,0.9148184657096863,1.8199999928474426,0.896215409040451,1.4921714120434524,0.9136169956129895,nan,4.529322682582078,0.8584537759657288,0.6122734883131408,0.47090218614749824,0.08334254504799879,0.22851851152958413,0.2371488132079751,0.3514356404343838,4.768255304611751,0.0,
NMK.2005.0640,371882,743772,0.6133423447608948,1.0699999928474426,0.6072801649570465,0.3985435824585279,0.23303777904909015,nan,2.3519110740528353,0.8741057442984151,0.584723451351371,0.36556330237248263,0.009881857331176898,0.01966794657715203,0.02054059934304766,0.481089045462619,5.198984260945456,0.0,
NMK.2005.0641,365437,731016,1.8488182425498962,1.9944868087768555,1.350248396396637,4.9789648031010945,2.9818259269533454,nan,6.852001879905533,0.8787062020669303,0.5988847169789486,0.44644824023470847,0.8311922145586197,1.0902510621681396,1.3158014018325401,0.6317003564527317,4.7269950435233365,0.0,
NMK.2005.0643,496458,992936,1.9932377338409424,1.837876319885254,1.4475910663604736,5.302995719391459,4.370687776195918,0.31764122484384333,12.215825340221874,0.8393499610791747,0.8241922127550714,0.8088104126555463,1.7793491700093018,1.879388119349688,2.352761518971441,0.75628114267492,4.608959698751002,1.0,
NMK.2005.0644,344964,689940,0.6507642269134521,0.8600000143051147,0.6106646955013275,0.3417629207701182,0.21939444552079745,nan,1.289584779659177,0.8258894818901602,0.6419492349445652,0.550242834267224,0.010806222764349388,0.014988527925749517,0.017041485970058938,0.6341127049211199,5.427323876298543,0.0,
NMK.2005.0645,161274,322524,0.4211151897907257,0.8949999809265137,0.5342230498790741,0.20134764544021236,0.09860965628017482,0.007767358278280838,0.7432637402340286,0.830361950404274,0.48974824644500603,0.3450268910496729,0.002336255149805924,0.005025254929100779,0.005180030580023698,0.451011845145369,5.336421411204921,1.0,
NMK.2005.0646,247901,495792,0.9555470049381256,1.2000000476837158,0.661279946565628,0.7582609169702961,0.5283817218914023,nan,1.791588067790196,0.8221307837067034,0.6968336492966062,0.35862432872341626,0.04833438965779087,0.06129201009794865,0.07872834080488768,0.6139388835537372,5.141040117333638,0.0,
NMK.2005.0661,259724,519444,0.955303281545639,1.2099999785423279,0.804121732711792,0.9294979408429482,0.7090933002665248,0.017777507573448984,2.0842129728898677,0.8399425777398197,0.7628777527182667,0.4254091942338762,0.07241492022657363,0.10901168374574334,0.11925286721898046,0.6072383995061543,5.0955699880320795,1.0,
NMK.2006.0076,335969,673582,0.6831918954849243,0.7300000190734863,0.4848858565092087,0.24182717012219632,0.14412888717397368,0.0015863069907685126,0.8419592644243841,0.8788035980249951,0.5959995607654207,0.5848568970832866,0.005221471877283444,0.007000396973400617,0.008549098343570542,0.6107628743340306,5.601008126682579,1.0,
NMK.2007.0006,453154,906434,1.3465495109558105,1.9931806921958923,1.077860414981842,2.8928873377246545,1.6759075367341436,nan,8.895983794048774,0.8587797801277177,0.5793200152938887,0.5409448805732638,0.27382775819188887,0.5036503002801671,0.5657332348736148,0.48402275368011954,4.707051834794783,0.0,
NMK.2008.0005,195905,391832,0.434274360537529,0.800000011920929,0.48394906520843506,0.1681333391662844,0.11019377597140852,nan,0.6721530635782939,0.7925083951938222,0.6553951555225257,0.5900513593631987,0.003042537282101723,0.005738207848501414,0.005935265893369872,0.5126202156335508,5.464577338023689,0.0,
