id;object_id;uuid;tittel;betegnelse;datering;fra_aar;til_aar;hundreaar;produksjonsstad;produsent;materialar;material_kommentar;teknikk;dekorteknikk;maal;hoegde_cm;breidde_cm;djupn_cm;setehoegde_cm;emneord;klassifikasjon;stilperiode;erverving;beskriving;bilde_url;bilde_tal;digitaltmuseum_url;nasjonalmuseet_url;glb_url;lokal_bilde
175;NMK.2009.0193;2c4b14cc-b0d1-4c59-8142-795718dc48d4;Armstol;"Armstol; Kongestol; Paa veg til gjestebod i Trollslotte";1889-90;1889;1890;1900-talet;Norge, Vestland, Ullensvang, Kinsarvik;Kinsarvik, Lars;"Furu; Maling";Furutre med utskåret og bemalt relieffdekor;"Tapping; Plugging; Bemaling; Relieffskjæring";;H 164,5 x B 69 x D 69,5 cm;164.5;69.0;69.5;;"Møbel; Kunstindustri";"322.4 (Møbelfagene); 352.1 (Sittemøbler); 531.41 (Treskjæring); 531.46 (Møbelkunst)";;Kjøpt 2009;;"https://ms01.nasjonalmuseet.no/iiif/tif/37158.tif/full/4000,/0/default.jpg; https://ms01.nasjonalmuseet.no/iiif/tif/Bak.tif/full/4000,/0/default.jpg; https://ms01.nasjonalmuseet.no/iiif/tif/Venstre%20side.tif/full/4000,/0/default.jpg; https://ms01.nasjonalmuseet.no/iiif/tif/Front.tif/full/4000,/0/default.jpg; https://ms01.nasjonalmuseet.no/iiif/tif/Høyre%20side.tif/full/4000,/0/default.jpg";5;https://digitaltmuseum.org/0210614966853;https://www.nasjonalmuseet.no/samlingen/objekt/NMK.2009.0193;;bilete/NMK.2009.0193.jpg
101;OK-15056F-1;64e27f92-0da5-48d8-a221-f86fb7815ca8;Lenestol;Lenestol;1889;1889;1889;1900-talet;Norge, Norge;Backer, Herman;"Eik; Bomull; Metall";Fernissert eik med dreid dekor, trekk i bomullsfløyel, metalltrinser.;"Plugging; Dreiing; Polstring; Fernissering";;H 88 x B 67 x D 73 cm;88.0;67.0;73.0;;Møbel;352.1 (Sittemøbler);;Gave 1958;;https://ms01.nasjonalmuseet.no/iiif/tif/07702.tif/full/4000,/0/default.jpg;1;https://digitaltmuseum.org/0210615058414;https://www.nasjonalmuseet.no/samlingen/objekt/OK-15056F-1;;bilete/OK-15056F-1.jpg
75;OK-15056F-2;83d6042c-98b3-45ea-a9d9-0011f1da5224;Lenestol;Lenestol;1889;1889;1889;1900-talet;Norge, Norge;Backer, Herman;"Eik; Bomull; Metall";Fernissert eik med dreid dekor, trekk i bomullsfløyel, metalltrinser.;"Plugging; Polstring; Dreiing; Fernissering";;H 88 x B 67 x D 73 cm;88.0;67.0;73.0;;Møbel;352.1 (Sittemøbler);;Gave 1958;;https://ms01.nasjonalmuseet.no/iiif/tif/08295.tif/full/4000,/0/default.jpg;1;https://digitaltmuseum.org/0210615059062;https://www.nasjonalmuseet.no/samlingen/objekt/OK-15056F-2;;bilete/OK-15056F-2.jpg
106;OK-1969-0276;c2d07ce2-aebb-4fdc-b9c6-64f0f035f2a0;Gyngestol;Gyngestol;Antagelig 1890-årene;1890;1899;1900-talet;Norge, Norge;;"Or; Tekstil, plysj";Svartlakkert or med plysjtrekk.;"Fargelakkering; Polstring";;H 96 x B 43,5 cm;96.0;43.5;;;Møbel;"322.48 (Møbeldesign); 352.1 (Sittemøbler)";;Gave 1969;;https://ms01.nasjonalmuseet.no/iiif/tif/07394.tif/full/4000,/0/default.jpg;1;https://digitaltmuseum.org/0210615060802;https://www.nasjonalmuseet.no/samlingen/objekt/OK-1969-0276;;bilete/OK-1969-0276.jpg
41;OK-11119;f0731eb4-e8c9-4fb0-9f46-b6bab5daf164;Sofa;Sofa;Ca. 1900;1900;1900;2000-talet;Norge, Oslo (fylke), Oslo;Brødrene Ollendorff;"Eik; Textil, fløyel; Furu; Messing";Lakkert eik, polstret sete trukket med fløyelsstoff, possement;"Polstring; Plugging; Veving; Beising; Lakkering";;H 95 x L 202 x D 90 cm;95.0;;90.0;;Møbel;352.1 (Sittemøbler);;Gave 1940;;https://ms01.nasjonalmuseet.no/iiif/tif/111593.tif/full/4000,/0/default.jpg;1;https://digitaltmuseum.org/0210615045230;https://www.nasjonalmuseet.no/samlingen/objekt/OK-11119;;bilete/OK-11119.jpg
120;OK-11122;59f28433-2a96-4160-88e6-54cb49ffc04e;Gruppering;"Gruppering; To armstoler";Ca. 1900;1900;1900;2000-talet;Norge, Oslo (fylke), Oslo;Brødrene Ollendorff;"Eik; Tekstil, fløyel";Beiset og fernissert eik med skåret og dreid dekor og fløyelstrekk;"Fernissering; Polstring; Dreiing; Relieffskjæring; Treskjæring; Beising; Tapping";;H 107 x B 65,5 x D 60 cm;107.0;65.5;60.0;;"Møbel; Kunstindustri";"322.48 (Møbeldesign); 352.1 (Sittemøbler)";;Gave 1940;;https://ms01.nasjonalmuseet.no/iiif/tif/07189.tif/full/4000,/0/default.jpg;1;https://digitaltmuseum.org/0210615054312;https://www.nasjonalmuseet.no/samlingen/objekt/OK-11122;;bilete/OK-11122.jpg
13;OK-11124;cf9b9694-07d8-4f8f-9113-e2eba4dc1ebe;Stol;Stol;Ca. 1900;1900;1900;2000-talet;Norge, Oslo (fylke), Oslo;Brødrene Ollendorff;"Eik; Tekstil";Profilert, dreiet og beiset eik, fløyelstrekk;"Polstring; Dreiing; Tapping; Lakkering; Beising; Profilering; Fløyel";;H 91,3 x B 42,5 x D 49 cm;91.3;42.5;49.0;;Møbel;352.1 (Sittemøbler);;Gave 1940;;https://ms01.nasjonalmuseet.no/iiif/tif/30284.tif/full/4000,/0/default.jpg;1;https://digitaltmuseum.org/0210615054542;https://www.nasjonalmuseet.no/samlingen/objekt/OK-11124;;bilete/OK-11124.jpg
113;OK-1991-0893A;2545face-e17c-4d84-8966-7aa8b8a41c03;Lenestol;"Lenestol; Biblioteksstol";1928;1928;1928;2000-talet;Norge, Oslo (fylke), Oslo;Bryn, Finn;"Tre; Skinn";Lakkert tre og skinnstopning;Lakkering;;H 72 x B 70,5 x D 84 cm;72.0;70.5;84.0;;"Møbel; Design";352.1 (Sittemøbler);;Gave 1991;;"https://ms01.nasjonalmuseet.no/iiif/tif/107691.tif/full/4000,/0/default.jpg; https://ms01.nasjonalmuseet.no/iiif/tif/107690.tif/full/4000,/0/default.jpg";2;https://digitaltmuseum.org/0210615063082;https://www.nasjonalmuseet.no/samlingen/objekt/OK-1991-0893A;;bilete/OK-1991-0893A.jpg
25;OK-1991-0893B;2581feb9-6b3b-460c-bd01-4d172ed5fadd;Lenestol;"Lenestol; Bibliotekstol";1928;1928;1928;2000-talet;Norge, Oslo (fylke), Oslo;Bryn, Finn;"Tre; Skinn; Metall";Polstret skinn og lakkert tre;Polstring;;H 73 x B 71 x D 81 cm;73.0;71.0;81.0;;"Møbel; Design";352.1 (Sittemøbler);;Gave 1991;;https://ms01.nasjonalmuseet.no/iiif/tif/111618.tif/full/4000,/0/default.jpg;1;https://digitaltmuseum.org/0210615046550;https://www.nasjonalmuseet.no/samlingen/objekt/OK-1991-0893B;;bilete/OK-1991-0893B.jpg
182;OK-2001-0225;27ab5d4f-56df-4863-95ce-6ef1d4d0e786;Sofa;"Sofa; Sofa med syv løse puter";Ca. 1930;1930;1930;2000-talet;Norge, Norge;;"Jern; Tekstil; Møbelplate";Formbøyd og lakkert jernrør, armlener i bjørk, polstrede pute trukket med cordfløyel;"Skruing; Polstring; Fargelakkering; Sveising; Formbøying; Lakkering";;H 72,5 cm x L 191 cm x D 85 cm;72.5;;85.0;;"Møbel; Tekstil";"322.48 (Møbeldesign); 352.1 (Sittemøbler)";;Testamentarisk gave, innkommet 2001;;https://ms01.nasjonalmuseet.no/iiif/tif/111636.tif/full/4000,/0/default.jpg;1;https://digitaltmuseum.org/0210615301380;https://www.nasjonalmuseet.no/samlingen/objekt/OK-2001-0225;;bilete/OK-2001-0225.jpg
